WiFi,ZTE_2.4G_tRARPn,c4:3c:b0:9f:03:04,-91,2417,2024-11-18T22:13:33.672Z
Bluetooth,Unknown,51:8b:1e:8f:09:6d,-101,N/A,2024-11-18T22:13:33.672Z
Mobile,Cell Tower,Tower ID 12345,-85,1800 MHz,2024-11-18T22:13:23.662Z
WiFi,ZTE_2.4G_tRARPn,c4:3c:b0:9f:03:04,-90,2417,2024-11-18T22:15:01.483Z
Mobile,Cell Tower,Tower ID 12345,-85,1800 MHz,2024-11-18T22:14:51.479Z
WiFi,ZTE_2.4G_tRARPn,c4:3c:b0:9f:03:04,-90,2417,2024-11-18T22:15:23.610Z
Bluetooth,Unknown,71:45:4f:ca:8f:95,-48,N/A,2024-11-18T22:15:23.609Z
Bluetooth,Unknown,53:bf:1a:3f:c0:79,-99,N/A,2024-11-18T22:15:23.609Z
Mobile,Cell Tower,Tower ID 12345,-85,1800 MHz,2024-11-18T22:15:13.607Z
WiFi,ZTE_2.4G_tRARPn,c4:3c:b0:9f:03:04,-90,2417,2024-11-18T22:21:43.528Z
Mobile,Cell Tower,Tower ID 12345,-85,1800 MHz,2024-11-18T22:21:33.519Z
WiFi,ZTE_2.4G_tRARPn,c4:3c:b0:9f:03:04,-90,2417,2024-11-18T22:23:06.058Z
Bluetooth,Unknown,e0:95:d0:e2:a4:de,-49,N/A,2024-11-18T22:23:06.058Z
Bluetooth,Unknown,71:45:4f:ca:8f:95,-46,N/A,2024-11-18T22:23:06.058Z
Mobile,Cell Tower,Tower ID 12345,-85,1800 MHz,2024-11-18T22:22:56.054Z
